Der Versuch Tomaten Reifegradbestimmung wurde mit dem Dpark fun NIR Triad durchgeführt. der misst 18 wellenlängen von 410 bis 940 nm. Die Umgebung war verdunkerlt und Klimatisiert auf 22°C.  Die Studenten  Leonhard, Samuel, Frederik und Luzia aheb die Messungen durchgeführt. Zur Kallibreirung wurde ein Refraktometer benutzt und der Frucktose gehalt der Früchte gemessen.Zielsetzung kalibreirung des NIR Sensors zu finden die am besten zu den gemessenen Daten passt

Counter;Messobjekt;Kurz;Tomate;Rispe;Reihe;Tag;Brix;Temp0;Temp1;Temp2;A_410;B_435;C_460;D_485;E_510;F_535;G_560;H_585;R_610;I_645;S_680;J_705;T_730;U_760;V_810;W_860;K_900;L_940
1000;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;33;39;32;630.23;1111.21;6754.32;501.53;1657.19;7516.47;881.94;1525.95;20729.77;2837.55;3678.37;1581.28;2219.16;1080.64;2860.49;3099.48;2717.21;1095.82
1001;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;33;39;32;1255.57;2820.62;7603.89;1593.19;4091.56;6707.86;1153.45;2307.97;17116.67;3620.73;4662.70;1267.19;1738.04;1056.72;2742.85;4500.69;2591.88;1508.67
1002;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;33;40;31;919.72;3728.56;6863.88;1456.41;5889.59;4727.58;928.90;2003.32;16691.80;3007.40;3486.15;1340.29;1550.04;875.68;1981.09;4062.39;2220.10;1604.46
1003;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;33;40;32;1066.10;1997.86;7157.00;2098.16;5237.59;5063.15;892.78;1782.87;17097.30;3575.70;5672.33;1363.31;1786.38;986.53;3486.77;3834.84;2769.32;1387.97
1004;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;33;40;31;892.08;2986.14;5983.55;1628.46;4211.53;6088.89;969.84;2240.92;17671.39;5297.22;4179.13;1414.30;1586.87;891.63;2819.11;4284.34;3467.10;1751.01
1005;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;1103.51;2019.16;6297.82;2114.51;4456.68;5253.49;745.29;1430.48;17017.57;3232.57;5694.59;1076.30;1834.72;1101.38;3364.28;5175.52;2553.85;1173.41
1006;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;31;526.95;1636.81;5318.50;984.13;3034.96;2873.49;1252.78;2743.50;24361.09;3247.74;3617.67;1914.77;1569.22;856.54;2416.73;5210.27;2653.84;1592.00
1007;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;713.99;3205.87;7789.38;1281.78;5160.09;4253.13;954.18;2115.95;14056.01;3900.23;4853.91;1272.60;1358.20;799.12;2587.09;3664.45;2485.55;1625.53
1008;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;588.75;1983.34;3277.21;1744.60;1684.76;4047.28;576.72;1088.82;13759.85;3389.20;4015.25;858.78;1521.65;932.30;2810.19;4832.50;2748.90;1076.66
1009;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;799.37;1738.45;2924.50;2078.38;2300.99;5187.93;922.28;1757.66;12611.68;3594.30;3070.36;1200.85;1358.20;807.09;2247.99;3491.82;2957.32;1419.58
1010;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;1283.22;4726.53;5823.05;1763.52;4274.87;6249.63;787.43;1455.15;18746.66;4837.10;3896.88;977.47;2144.73;1311.92;2486.50;5360.48;3248.12;1144.67
1011;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;34;41;32;461.90;1918.49;2640.03;2136.88;2675.80;3366.97;784.42;1929.30;20085.06;4587.96;4521.07;1344.35;1976.68;1096.59;2915.65;5351.51;3202.35;1865.00
1012;10401T5;1To4Ri2Re5Ta;1To;4Ri;2Re;5Ta;6.3;35;41;32;666.01;2284.38;3369.47;1945.90;3563.26;4420.91;1008.36;1966.31;38587.96;5207.16;9140.28;1898.07;3492.19;2047.24;5561.15;13135.52;12925.59;4598.80
