Brix	Messobjekt	Kurz	Tomate	Rispe	Reihe	Tag	Temp0	Temp1	Temp2	A_410	B_435	C_460	D_485	E_510	F_535	G_560	H_585	R_610	I_645	S_680	J_705	T_730	U_760	V_810	W_860	K_900	L_940
continuous	d	string	d	d	d	d	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta	meta	meta	meta	meta	meta	meta	meta																		
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	39	32	630.23	1111.21	6754.32	501.53	1657.19	7516.47	881.94	1525.95	20729.8	2837.55	3678.37	1581.28	2219.16	1080.64	2860.49	3099.48	2717.21	1095.82
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	39	32	1255.57	2820.62	7603.89	1593.19	4091.56	6707.86	1153.45	2307.97	17116.7	3620.73	4662.7	1267.19	1738.04	1056.72	2742.85	4500.69	2591.88	1508.67
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	31	919.72	3728.56	6863.88	1456.41	5889.59	4727.58	928.9	2003.32	16691.8	3007.4	3486.15	1340.29	1550.04	875.68	1981.09	4062.39	2220.1	1604.46
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	32	1066.1	1997.86	7157	2098.16	5237.59	5063.15	892.78	1782.87	17097.3	3575.7	5672.33	1363.31	1786.38	986.53	3486.77	3834.84	2769.32	1387.97
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	31	892.08	2986.14	5983.55	1628.46	4211.53	6088.89	969.84	2240.92	17671.4	5297.22	4179.13	1414.3	1586.87	891.63	2819.11	4284.34	3467.1	1751.01
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	1103.51	2019.16	6297.82	2114.51	4456.68	5253.49	745.29	1430.48	17017.6	3232.57	5694.59	1076.3	1834.72	1101.38	3364.28	5175.52	2553.85	1173.41
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	31	526.95	1636.81	5318.5	984.13	3034.96	2873.49	1252.78	2743.5	24361.1	3247.74	3617.67	1914.77	1569.22	856.54	2416.73	5210.27	2653.84	1592
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	713.99	3205.87	7789.38	1281.78	5160.09	4253.13	954.18	2115.95	14056	3900.23	4853.91	1272.6	1358.2	799.12	2587.09	3664.45	2485.55	1625.53
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	588.75	1983.34	3277.21	1744.6	1684.76	4047.28	576.72	1088.82	13759.9	3389.2	4015.25	858.78	1521.65	932.3	2810.19	4832.5	2748.9	1076.66
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	799.37	1738.45	2924.5	2078.38	2300.99	5187.93	922.28	1757.66	12611.7	3594.3	3070.36	1200.85	1358.2	807.09	2247.99	3491.82	2957.32	1419.58
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	1283.22	4726.53	5823.05	1763.52	4274.87	6249.63	787.43	1455.15	18746.7	4837.1	3896.88	977.47	2144.73	1311.92	2486.5	5360.48	3248.12	1144.67
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	461.9	1918.49	2640.03	2136.88	2675.8	3366.97	784.42	1929.3	20085.1	4587.96	4521.07	1344.35	1976.68	1096.59	2915.65	5351.51	3202.35	1865
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	41	32	666.01	2284.38	3369.47	1945.9	3563.26	4420.91	1008.36	1966.31	38588	5207.16	9140.28	1898.07	3492.19	2047.24	5561.15	13135.5	12925.6	4598.8
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	42	32	1197.84	2110.14	4240.19	1428.88	2969.38	3761.06	626.69	1242.22	38568.6	4044.14	13727.1	1620.99	3868.95	2314.41	9774	17681	7178.53	3394.74
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	42	32	1326.32	2370.52	5045.56	1932.13	3696.64	4537.24	603.81	1110.27	53944.8	5664.83	13244.5	1472.52	5451.22	3351.98	8663.39	26413.4	9341.6	2955.07
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	726.18	2400.53	3956.68	1969.99	2978.32	3921.09	959	1930.37	41792.1	4567.4	14047.8	1809.17	3274.26	1861.42	9493.31	13302.5	8562.84	4412.97
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	869.31	1869.12	2775.54	1176.83	1812.93	3193.55	412.98	802.94	47424.8	4367.2	20168.3	1267.19	5072.92	3151.81	14839.5	27359.5	8668.46	2505.83
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	473.28	1507.11	4151.77	1201.78	3275.64	3208.35	619.47	1101.15	35144.6	5702.52	7725.99	968.44	3433.1	2107.05	5867	18089.1	10540	4056.64
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	813.2	2396.66	2071.08	1449.53	1308.47	3764.58	508.09	942.93	51397.8	2824.34	9751.31	1319.53	5291.61	3166.16	9385.41	26285.6	9593.68	2926.34
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	1025.44	2081.1	4830.28	1668.04	3202.61	4616.19	495.45	987.44	38060.6	3303.54	16559.7	1324.5	4017.05	2489.07	12305.1	21448.6	6085.03	2903.35
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	1023.81	2295.99	2591.97	1348.02	1619.19	3289.43	701.94	1316.77	58804	4482.72	15211.2	1425.58	6632.93	3679.77	9675.03	19611.4	9972.5	3774.06
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	934.36	2032.71	4519.86	1403.94	2934.36	4057.15	485.82	897.34	41296.7	5624.69	20798.5	1195.43	4340.1	2665.32	13924.4	22370.1	8299.5	2986.68
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	671.7	2337.61	4184.45	1600.08	2240.64	3820.98	940.94	1845.09	60612.8	4951.15	17118.2	1837.15	4947.07	2869.48	11087.4	19847.9	9438.07	4371.78
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	1104.32	3416.88	3938.42	2123.11	2585.64	5844.97	719.4	1539.9	54579.2	3296.2	18131.8	1988.33	5091.34	2933.29	11607.4	19212.3	5715.37	3190.71
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	1090.5	2389.88	3844.23	1793.63	2800.24	5426.21	409.37	767.54	41813.8	5017.24	8086.13	1138.57	4917.92	3036.96	6814.54	20344.5	9036.72	2759.67
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	1605.25	2617.35	4884.1	1624.16	3362.07	4228.46	1131.17	2113.81	49094.7	5476.86	21947.8	2259.09	6091.19	3539.4	11626.1	19167.5	8164.31	4398.61
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	975.02	1782.01	3722.18	1058.11	2341.97	2627.45	374.45	709.61	47760.8	3804.78	15450	1134.51	6272.28	4071.35	12092.6	32245.8	7332.03	2592.99
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	932.74	3084.87	3196.48	2056.87	2330.05	5790.69	734.45	1623.57	54155.5	2602.11	23942.8	2212.61	4831.97	2747.46	14566.1	19168.6	3945.2	3661.03
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	887.2	2098.53	3754.85	1406.52	2559.56	3651.78	472.58	937.03	52513	4299.65	16775.2	1223.41	5426.67	3361.55	13058	28080.3	7549.61	2764.45
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	32	1365.36	2493.45	4749.55	1597.49	3327.8	4381.44	471.37	923.08	61863.5	5275.68	17169.8	1356.54	6910.71	4321.77	13212.9	37243.1	7874.21	2299.88
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	33	1276.72	2767.39	5825.94	1901.17	3827.78	5002.52	488.23	1032.5	72765.5	7570.89	20777.3	1810.07	8621.12	5270.02	11640.7	29542	10090.8	3612.18
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	42	32	1036.83	2237.91	4534.27	1703.31	3435.84	5256.31	559.87	1132.8	63665.5	4396.57	18490	1750.5	6043.61	3568.91	11226.1	23995.5	6814.5	3011.59
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	33	1593.86	3604.67	5620.27	2713.25	4280.83	6683.89	1060.74	2065	65015.3	4888.99	24669.1	2092.12	6093.49	3598.42	13792.1	21241.2	6981.38	3781.73
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	33	1052.28	3396.56	4344.94	2117.09	3263.71	5393.08	783.81	1681.5	72019.4	3916.87	23844.6	2218.03	6261.54	3571.3	11563.6	25627.6	5832.25	3599.73
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	33	1658.11	3006.47	4503.52	2143.76	3247.32	6134.71	614.65	1197.16	66499.5	4260.98	23558.3	1570.9	6830.91	4137.54	15483.6	28528.7	6568.76	2576.71
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	43	33	1327.14	3289.11	5672.17	2276.24	4028.97	6057.17	595.39	1245.97	71863.3	5828.8	15248.6	1961.25	7067.25	4209.32	10324	28734.9	8936.73	3069.06
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	43	33	1486.52	2922.26	6377.58	1893.42	3996.19	4955.99	486.42	1014.8	61062.8	6981.05	32354.7	1685.97	7147.05	4376	15808.1	25706.1	9514.11	3096.84
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	43	33	1084.8	2284.38	4715.91	1486.52	3210.06	3424.78	654.98	1298	57240.1	5017.72	22279.6	1519.9	6317.55	3887.12	13499.3	24970.7	6727.19	3441.68
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	43	33	1901.25	3217.48	5540.5	2343.34	3885.16	6470.99	647.16	1258.84	64803.4	5836.64	23258.9	1521.26	7082.6	4400.73	12786.2	26936.9	7738.31	2842.04
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	33	1045.77	2380.2	4673.63	1696.42	3308.42	4779.04	490.03	952.04	60303	4177.77	17448	1264.03	6521.67	4086.5	11232.6	27909.9	7034.19	2783.61
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	36	42	33	1230.37	2538.95	3586.67	2182.47	2356.13	7886.58	344.35	762.17	10818.8	5204.22	27467.4	986.94	2368.79	1298.37	15202.9	2801.3	10016.9	3611.22
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	35	42	33	1047.4	2707.37	4633.26	2002.68	3351.64	5994.42	969.23	2007.61	66556.5	6045.65	22389.9	1925.15	5621.57	3137.45	13424.6	16823.5	9294.42	4123.69
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	2309.48	2968.72	5063.82	1875.36	3656.4	5674.36	887.36	1816.12	66641.9	3972.67	17839.5	1731.1	6470.26	3945.34	10870.8	25245.3	6230.08	3232.86
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	1659.73	5139.84	6041.21	5488.43	5798.68	22689	1108.3	1938.95	48042.2	4576.21	13959.8	2029.84	5214.11	3141.44	10480.6	18797.5	10169	3831.54
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	2343.63	2916.45	4838.93	1809.98	4969.34	5520.68	891.57	1820.95	59728.9	7333.48	13060.4	1653.03	5912.4	3530.63	9135.54	22206.4	11761.7	3337.27
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	1475.95	3769.22	5246.42	6896.67	3835.98	14981.5	1096.86	2209.81	52229.3	3552.69	20476.8	2293.84	5183.42	2971.57	11628.5	18169.8	5842.81	4406.27
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	35	43	33	1456.43	2916.45	4368.97	4683.23	5934.29	11883.1	915.65	1809.15	47743.7	2838.53	18591.1	1850.24	4977	2891.81	12967.1	20059.8	4499.35	3279.8
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	980.71	2227.27	3504.02	1429.74	6385.1	3731.45	713.98	1532.39	49750.8	5383.37	12988.6	1693.19	5338.42	3241.93	9819.43	20950.9	8905.75	3298
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	1259.64	2259.21	3449.24	1416.84	2438.1	4289.08	629.7	1352.17	69458.8	3719.12	19338.7	1516.29	6662.86	4075.34	17017.7	28711.4	6827.88	2991.47
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1436.1	2177.9	3956.68	2200.53	5230.14	6800.92	697.13	1330.18	48551.3	4254.13	13569.3	1689.13	5446.62	3300.94	9711.54	23263.5	11970.8	3187.84
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1571.09	2337.61	3843.27	1648.25	3005.89	5430.44	930.7	1938.42	58338.1	5547.35	14098.4	1924.7	5438.18	3170.95	11149.1	22157.1	8611.42	3704.14
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1776.02	2779	4578.48	2520.55	3356.11	8836.89	1237.13	2493.55	72428.3	3987.36	29617.1	2711.72	6626.03	3718.84	18301.1	19254.9	5216.85	4647.66
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	2261.5	2544.76	7658.67	2419.04	8103.4	7031.45	521.94	947.22	61771.3	5138.63	12874.3	1309.61	7084.9	4360.85	8054.95	28339.2	10871.7	1994.32
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1676.81	2836.11	5007.11	2024.18	3294.26	7060.35	670.64	1449.79	72357.7	5610.49	18199.6	1842.56	7395.67	4466.92	11749.4	26085	8835.34	2832.46
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1667.87	3352.03	4415.1	2870.67	10302.3	17740.8	1087.23	1963.62	42277.4	5493.51	13107	2040.22	4913.31	2893.41	8441.11	17571.2	9916.87	4091.12
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1705.27	2294.05	4230.58	1553.62	2926.16	5132.24	767.56	1593.53	66246.6	4443.07	23052.5	1771.26	6580.75	3903.87	16036.1	26710.5	6524.4	3031.7
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	2285.08	11887.5	4873.53	11684.9	6600.45	23337.6	988.5	1776.97	49354.4	6407.38	21258.9	1949.07	5652.27	3387.87	12532.3	21260.3	9737.32	3519.27
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1284.04	1974.63	3640.49	1266.3	6362	3779.38	774.18	1504.5	53906.1	3009.85	17828.3	1952.23	6089.65	3626.33	12799.2	22487.8	6242.76	2680.16
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1256.39	2380.2	5597.2	2000.09	4590.81	6341.27	942.14	1952.36	49839.6	5663.36	30985.9	2135.44	4904.1	2846.36	16743.5	18678.7	6722.26	3779.81
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	2707.94	2405.37	4746.67	1625.88	2967.89	4938.37	859.67	1802.18	47906.6	5778.88	13501.5	1796.53	4785.93	2883.04	10174.8	20644.9	9043.05	3555.67
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	898.58	2084.01	3078.27	1355.76	2049.13	4116.36	834.38	1731.92	53122.4	3866.45	12825.7	1654.38	4947.07	3017.82	11505.2	24455.1	8531.16	3426.35
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	904.27	1518.72	4840.85	1242.21	11770.2	7865.43	777.19	1293.17	35713	5054.44	13690.7	1473.87	4284.09	2670.1	9081.19	21957.5	9728.87	3237.65
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1355.6	2821.59	3041.75	3702.54	3080.41	13658.9	1156.46	2301.53	26631.2	2486.1	13996.2	2341.23	2627.39	1195.49	11255.4	5301.06	6948.29	5663.97
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1314.94	1924.3	2650.6	1237.05	2467.9	4020.49	509.3	1007.29	60590.1	3715.69	16642.7	1338.04	6504.02	4018.71	13451.4	31512.7	6889.14	2251.99
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1227.11	2263.08	1903.86	2659.05	1941.83	9913.39	761.54	1408.49	40191.8	2716.16	13103.9	1843.92	4717.64	2799.3	11280.5	19139.4	6608.9	3817.17
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	42	33	1322.26	1542.92	6367.97	1108.01	6411.18	3591.86	588.16	1139.77	36419.2	3610.45	16937.1	1113.3	3941.85	2531.33	13230.8	25996.4	6568.06	2943.58
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	44	33	1566.22	2243.72	3593.4	1566.53	2695.92	5515.04	576.12	1191.8	74184.8	5394.63	12955.2	1663.41	7388.77	4518.76	13149.6	30750.4	7292.6	2576.71
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1309.25	2360.84	813.06	1479.64	659.45	12811.6	1116.72	1999.56	36681.2	2069.06	6605.08	1875.96	4303.27	2607.1	7216.12	18287.5	8748.03	4086.33
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1706.09	2178.87	3787.53	1317.91	3929.87	4111.43	493.04	992.81	59231.2	5125.9	14046.8	1348.42	6562.34	4081.72	10888.7	32576.5	8686.77	2168.65
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1295.42	1477.1	2810.13	815.52	2679.52	2978.53	936.12	1614.45	34521.5	4996.19	9826.18	1787.51	4163.62	2467.53	7047.37	15940.2	11832.1	4233.85
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	915.66	2010.44	1309.92	2909.38	1122.18	7675.09	912.04	1685.79	25368	3128.8	7756.34	1617.83	3076.29	1866.2	7328.07	15358.4	8533.97	4514.51
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1323.07	2171.12	4407.41	1462.43	9711.41	4666.95	854.25	1817.73	61077.6	5151.35	13533.9	1816.84	5685.26	3278.61	9984.93	23399.1	8517.78	3404.32
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	44	33	1410.9	2793.52	3460.77	3669.85	2858.36	11563	849.43	1586.02	37384	3739.68	25080.9	1860.62	4587.19	2643.79	16995	17078	5472.44	4030.78
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1528	2020.12	2157.58	1329.96	1837.52	4762.12	866.89	1604.26	39101.7	2939.37	15537	1652.13	4843.48	2834.39	11931.9	16926.6	6832.11	4383.28
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	1130.34	1628.1	3840.39	1329.96	8149.6	6653.58	665.22	1081.31	45520.3	4665.29	12923.9	1386.77	5443.55	3381.49	8225.32	25883.2	9600.01	2577.67
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	44	33	983.15	1110.25	2419.95	608.2	2025.29	1856.21	277.53	391.01	50467.2	4648.16	9072.5	810.95	6343.64	4071.35	6361.05	34956.3	11114.6	1041.22
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	33	1163.68	1848.8	2199.86	1640.51	2553.59	5603.87	949.37	1997.95	46267.5	3147.4	14076.1	2088.06	4202.75	2256.19	12534.7	15431.3	5825.21	4325.81
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	925.42	1960.11	2527.58	1396.2	2154.94	8310.98	831.98	1570.47	22375.7	4984.44	14378.6	1463.04	2589.02	1541.61	7582.8	11278.1	10205.6	4329.64
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	2167.17	1917.52	1480.03	1342	2310.68	3664.47	473.18	919.33	44143.2	1437.13	9644.08	1125.03	4878.01	3017.82	9242.63	24054.9	4602.85	2348.73
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	43	33	2561.57	1845.89	3329.11	825.85	2833.02	1807.56	159.53	191.48	48133.3	4213.5	16913.8	265.35	6681.27	4308.21	12113.7	36726.3	6908.86	537.37
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	33	1482.46	2223.39	4590.98	2087.84	6201.8	4873.51	703.15	1529.17	60085.4	4675.57	12309.8	1694.09	5895.51	3411	7842.4	22460.9	9833.78	3108.33
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	34	1595.49	2866.12	3687.58	3183.81	2631.83	8361.74	775.99	1726.02	61453.5	3932.04	21178.9	2408.02	6198.61	3646.27	13279.4	19611.4	5488.64	3631.34
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	33	1384.87	3240.72	2595.82	2647.87	3490.24	7649.01	564.68	1062.53	52610.9	3588.91	10235.9	1711.69	5936.95	3548.17	9137.98	22701.9	6938.43	2826.72
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	34	1954.11	3346.22	4886.98	2081.82	3153.43	6261.61	450.3	857.11	64557.4	6183.19	14228.9	1191.37	7305.89	4490.05	10126.9	25227.4	7822.1	1865.96
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	36	44	33	1484.08	3206.84	5157.04	4835.5	10055.7	15263.5	990.3	1929.83	39985.6	5480.29	14209.7	2011.79	4439.09	2603.11	7623.37	14179.1	10985	4383.28
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	33	1773.58	2315.35	4170.99	1691.26	8007.27	4640.16	762.74	1708.85	46679.8	3566.4	15688.7	1976.59	4911.01	2782.55	9885.96	16751.8	6702.55	3472.33
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	34	1419.84	2787.71	5284.86	1803.1	3200.38	5211.9	988.5	2199.62	69084	5455.81	18203.7	2434.64	6191.71	3418.18	11742.1	19519.4	7503.84	3973.3
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	44	34	1466.19	2133.37	2933.15	1274.9	1831.55	6649.35	1069.17	2061.78	39393.3	6693.73	23755.6	2065.04	4664.69	2726.73	12646.7	15468.2	9878.85	5600.75
6.3	20401T5	2To4Ri2Re5Ta	2To	4Ri	2Re	5Ta	37	43	34	1194.59	2277.6	3055.2	1528.67	2161.65	3790.66	449.1	850.14	63149.5	3723.03	22656	1965.76	6662.86	4170.24	14609.1	28652	6652.55	2947.41
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	41	33	1380.81	2291.15	2201.78	1114.89	1885.2	3153.36	654.38	1384.89	61707.5	6381.43	21637.2	2529.86	7186.96	4429.44	13430.3	25049.2	9031.79	3504.9
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	35	42	33	1224.67	2055.94	3300.27	1539.86	2875.5	4266.52	499.67	1081.84	59961.3	4022.6	17198.1	1602.94	6656.72	4023.5	12740	28145.3	6560.31	2903.35
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	42	33	1422.28	2624.13	3352.17	2419.9	2803.22	6946.14	688.7	1468.56	64556.3	3868.41	19159.7	2092.57	6579.22	3845.65	13592.6	24920.3	6421.6	3850.7
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1131.97	1855.57	3341.6	1002.2	2753.29	3197.78	473.18	810.44	48558.2	3684.36	12651.7	1414.3	6111.14	3698.11	9033.33	25796.9	9512.7	2302.75
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	35	42	33	1697.95	2240.82	2664.05	1742.88	4125.09	4928.5	610.44	1313.55	53857.1	3492.49	15213.2	1662.51	5748.18	3344.01	11154	24443.9	7737.61	3156.23
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	35	42	33	1340.15	2330.84	3900.94	1927.83	3870.26	5597.52	595.39	1265.82	52326.2	4548.8	16482.8	1676.49	5386	3159.78	11649.6	22625.6	8157.97	3128.45
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1889.87	2743.19	4184.45	2242.69	5563.96	6275.01	609.23	1283.52	64260.1	4212.03	19479.4	1718.91	7008.16	4146.32	13798.6	26719.4	6431.46	2609.28
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	2003.72	3054.87	4155.62	2549.8	3056.56	8444.93	683.88	1450.33	57753.8	5528.75	22363.6	1992.84	6304.51	3582.47	14106.9	22115.6	7425.68	3162.93
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1618.26	2498.29	3435.78	1961.38	3786.06	5753.32	772.38	1702.42	65546.1	4493	20252.3	2120.1	6524.74	3699.7	13098.5	22667.1	7051.79	3309.49
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1396.26	2603.8	3057.13	2922.29	3245.08	7316.96	850.64	1899.8	57373.3	3351.02	17322.5	2228.86	5461.96	2939.67	14790	16784.3	5433.72	4143.81
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1668.68	2649.29	3416.56	1879.66	3269.67	5674.36	458.13	976.18	63393.3	3310.89	18668	1681.01	7194.63	4393.55	14160.5	30306.5	5523.14	2409.08
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1889.87	2251.46	3194.56	1686.96	3375.48	4518.2	506.29	986.37	44856.2	3538.5	20032.7	1225.22	5451.22	3319.29	13317.6	25932.5	6101.93	2258.69
6.3	30401T5	3To4Ri2Re5Ta	3To	4Ri	2Re	5Ta	36	43	33	1668.68	3229.1	7064.74	3227.68	7850.05	9460.8	557.46	1162.83	52277.2	2703.92	17780.8	1639.49	6063.56	3626.33	12116.1	23537	5760.43	2788.4
